test1_id	test1_url	test2_id	test2_url	similarity
50	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/135_143.jpg	50	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/135_143.jpg	1.00000
51	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/57_74.jpg	51	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/57_74.jpg	1.00000
52	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/3_8.jpg	52	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/3_8.jpg	1.00000
53	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/23_45.jpg	53	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/23_45.jpg	1.00000
54	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/33_54.jpg	54	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/33_54.jpg	1.00000
55	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/22_39.jpg	55	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/22_39.jpg	1.00000
56	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/26_49.jpg	56	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/26_49.jpg	1.00000
57	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/13_31.jpg	57	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/13_31.jpg	1.00000
58	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/55_72.jpg	58	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/55_72.jpg	1.00000
59	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/6_25.jpg	59	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/6_25.jpg	1.00000
60	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_85.jpg	60	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/68_85.jpg	1.00000
61	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_20.jpg	61	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_20.jpg	1.00000
62	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/23_46.jpg	62	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/23_46.jpg	1.00000
63	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/143_149.jpg	63	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/143_149.jpg	1.00000
64	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/104_117.jpg	64	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/104_117.jpg	1.00000
65	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/78_95.jpg	65	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/78_95.jpg	1.00000
66	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/61_77.jpg	66	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/61_77.jpg	1.00000
67	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_21.jpg	67	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/4_21.jpg	1.00000
